64	167773	10737472	84.00	42.00	42.00	127827.05	255654.10	255654.10
62	173185	10737470	87.00	43.50	43.50	123419.20	246838.39	246838.39
60	178957	10737420	89.00	44.50	44.50	120645.17	241290.34	241290.34
58	185128	10737424	93.00	46.50	46.50	115456.17	230912.34	230912.34
56	191740	10737440	96.00	48.00	48.00	111848.33	223696.67	223696.67
54	198842	10737468	100.00	50.00	50.00	107374.68	214749.36	214749.36
52	206489	10737428	103.00	51.50	51.50	104246.87	208493.75	208493.75
50	214749	10737450	108.00	54.00	54.00	99420.83	198841.67	198841.67
48	223697	10737456	111.00	55.50	55.50	96733.84	193467.68	193467.68
46	233423	10737458	117.00	58.50	58.50	91773.15	183546.29	183546.29
44	244033	10737452	122.00	61.00	61.00	88011.90	176023.80	176023.80
42	255653	10737426	128.00	64.00	64.00	83886.14	167772.28	167772.28
40	268436	10737440	135.00	67.50	67.50	79536.59	159073.19	159073.19
38	282564	10737432	141.00	70.50	70.50	76152.00	152304.00	152304.00
36	298262	10737432	149.00	74.50	74.50	72063.30	144126.60	144126.60
34	315807	10737438	158.00	79.00	79.00	67958.47	135916.94	135916.94
32	335545	10737440	168.00	84.00	84.00	63913.33	127826.67	127826.67
30	357914	10737420	179.00	89.50	89.50	59985.59	119971.17	119971.17
28	383480	10737440	192.00	96.00	96.00	55924.17	111848.33	111848.33
26	412978	10737428	207.00	103.50	103.50	51871.63	103743.27	103743.27
24	447393	10737432	223.00	111.50	111.50	48149.92	96299.84	96299.84
22	488065	10737430	244.00	122.00	122.00	44005.86	88011.72	88011.72
20	536871	10737420	268.00	134.00	134.00	40065.00	80130.00	80130.00
18	596524	10737432	298.00	149.00	149.00	36031.65	72063.30	72063.30
16	671089	10737424	336.00	168.00	168.00	31956.62	63913.24	63913.24
14	766959	10737426	384.00	192.00	192.00	27962.05	55924.09	55924.09
12	894785	10737420	447.00	223.50	223.50	24021.07	48042.15	48042.15
10	1073742	10737420	536.00	268.00	268.00	20032.50	40065.00	40065.00
8	1342178	10737424	670.00	335.00	335.00	16026.01	32052.01	32052.01
6	1789570	10737420	894.00	447.00	447.00	12010.54	24021.07	24021.07
4	2684355	10737420	1338.00	669.00	669.00	8024.98	16049.96	16049.96
2	5368710	10737420	2674.00	1337.00	1337.00	4015.49	8030.98	8030.98
