64	1677722	107374208	839.00	419.50	419.50	127978.79	255957.59	255957.59
62	1731842	107374204	867.00	433.50	433.50	123845.68	247691.36	247691.36
60	1789570	107374200	896.00	448.00	448.00	119837.28	239674.55	239674.55
58	1851280	107374240	927.00	463.50	463.50	115829.82	231659.63	231659.63
56	1917397	107374232	960.00	480.00	480.00	111848.16	223696.32	223696.32
54	1988412	107374248	996.00	498.00	498.00	107805.47	215610.94	215610.94
52	2064889	107374228	1033.00	516.50	516.50	103944.07	207888.15	207888.15
50	2147484	107374200	1075.00	537.50	537.50	99882.98	199765.95	199765.95
48	2236963	107374224	1120.00	560.00	560.00	95869.84	191739.69	191739.69
46	2334222	107374212	1168.00	584.00	584.00	91929.98	183859.95	183859.95
44	2440323	107374212	1221.00	610.50	610.50	87939.57	175879.14	175879.14
42	2556529	107374218	1280.00	640.00	640.00	83886.11	167772.22	167772.22
40	2684355	107374200	1343.00	671.50	671.50	79951.01	159902.01	159902.01
38	2825637	107374206	1414.00	707.00	707.00	75936.50	151872.99	151872.99
36	2982617	107374212	1492.00	746.00	746.00	71966.63	143933.26	143933.26
34	3158065	107374210	1580.00	790.00	790.00	67958.36	135916.72	135916.72
32	3355444	107374208	1678.00	839.00	839.00	63989.40	127978.79	127978.79
30	3579140	107374200	1790.00	895.00	895.00	59985.59	119971.17	119971.17
28	3834793	107374204	1918.00	959.00	959.00	55982.38	111964.76	111964.76
26	4129777	107374202	2064.00	1032.00	1032.00	52022.38	104044.77	104044.77
24	4473925	107374200	2237.00	1118.50	1118.50	47999.20	95998.39	95998.39
22	4880646	107374212	2441.00	1220.50	1220.50	43987.80	87975.59	87975.59
